Subject_ID,Tweet_ID,Sentence,Tokens,Indexed_Tokens,Segments_IDs
74,353,[CLS] holy fucking shit criticizing Israel antisemitic [SEP],"['[CLS]', 'holy', 'fucking', 'shit', 'criticizing', 'israel', 'anti', '##se', '##mit', '##ic', '[SEP]']","[101, 4151, 8239, 4485, 21289, 3956, 3424, 3366, 22930, 2594, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,353,[CLS] IS antisemitic putting holocaustdenying lunatic thinks Jews control weather Homeland Security Committee [SEP],"['[CLS]', 'is', 'anti', '##se', '##mit', '##ic', 'putting', 'holocaust', '##den', '##ying', 'lunatic', 'thinks', 'jews', 'control', 'weather', 'homeland', 'security', 'committee', '[SEP]']","[101, 2003, 3424, 3366, 22930, 2594, 5128, 11513, 4181, 14147, 26594, 6732, 5181, 2491, 4633, 10759, 3036, 2837, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
74,353,[CLS] sit fuck shut fuck spare us fucking fake outrage [SEP],"['[CLS]', 'sit', 'fuck', 'shut', 'fuck', 'spare', 'us', 'fucking', 'fake', 'outrage', '[SEP]']","[101, 4133, 6616, 3844, 6616, 8622, 2149, 8239, 8275, 19006, 102]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
74,538,[CLS] congratulations literally zero Republicans stood denounce Donald Trumps attack American Jews [SEP],"['[CLS]', 'congratulations', 'literally', 'zero', 'republicans', 'stood', 'den', '##oun', '##ce', 'donald', 'trump', '##s', 'attack', 'american', 'jews', '[SEP]']","[101, 23156, 6719, 5717, 10643, 2768, 7939, 23709, 3401, 6221, 8398, 2015, 2886, 2137, 5181, 102]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
74,538,[CLS] take victory lap spineless fucking cowards [SEP],"['[CLS]', 'take', 'victory', 'lap', 'spine', '##less', 'fucking', 'coward', '##s', '[SEP]']","[101, 2202, 3377, 5001, 8560, 3238, 8239, 16592, 2015, 102]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
74,333,[CLS] bro fix Nazi problem state [SEP],"['[CLS]', 'bro', 'fix', 'nazi', 'problem', 'state', '[SEP]']","[101, 22953, 8081, 6394, 3291, 2110, 102]","[5, 5, 5, 5, 5, 5, 5]"
74,333,[CLS] Jewish friends [SEP],"['[CLS]', 'jewish', 'friends', '[SEP]']","[101, 3644, 2814, 102]","[6, 6, 6, 6]"
74,333,[CLS] stop pretending [SEP],"['[CLS]', 'stop', 'pretending', '[SEP]']","[101, 2644, 12097, 102]","[7, 7, 7, 7]"
41,266,[CLS] Youre telling Bernie Sanders making kissyface Rashida Tlaib event declaring Israels creation disaster WHILE ROCKETS FALL ON TEL AVIV antisemitic call Bernies antiJewish garbage [SEP],"['[CLS]', 'your', '##e', 'telling', 'bernie', 'sanders', 'making', 'kiss', '##y', '##face', 'rashid', '##a', 't', '##lai', '##b', 'event', 'declaring', 'israel', '##s', 'creation', 'disaster', 'while', 'rockets', 'fall', 'on', 'tel', 'aviv', 'anti', '##se', '##mit', '##ic', 'call', 'bernie', '##s', 'anti', '##je', '##wi', '##sh', 'garbage', '[SEP]']","[101, 2115, 2063, 4129, 15941, 12055, 2437, 3610, 2100, 12172, 22080, 2050, 1056, 19771, 2497, 2724, 13752, 3956, 2015, 4325, 7071, 2096, 12496, 2991, 2006, 10093, 12724, 3424, 3366, 22930, 2594, 2655, 15941, 2015, 3424, 6460, 9148, 4095, 13044, 102]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
41,266,[CLS] Go fuck [SEP],"['[CLS]', 'go', 'fuck', '[SEP]']","[101, 2175, 6616, 102]","[9, 9, 9, 9]"
63,721,[CLS] You cannot say care women Iran dont speak women Palestine [SEP],"['[CLS]', 'you', 'cannot', 'say', 'care', 'women', 'iran', 'don', '##t', 'speak', 'women', 'palestine', '[SEP]']","[101, 2017, 3685, 2360, 2729, 2308, 4238, 2123, 2102, 3713, 2308, 8976, 102]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
78,996,[CLS] You cannot possibly compare NATOs interventions Russias invasions [SEP],"['[CLS]', 'you', 'cannot', 'possibly', 'compare', 'nato', '##s', 'interventions', 'russia', '##s', 'invasions', '[SEP]']","[101, 2017, 3685, 4298, 12826, 10079, 2015, 19388, 3607, 2015, 23536, 102]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
