Tweet ID,Corpus,Source
353,"holy fucking shit, criticizing Israel is not antisemitic. what IS antisemitic is putting a holocaust-denying lunatic who thinks Jews control the weather on the Homeland Security Committee. sit the fuck down and shut the fuck up and spare us your fucking fake outrage",Before
538,"congratulations to the literally zero Republicans who have stood up to denounce Donald Trumps attack on American Jews. take a victory lap, you spineless fucking cowards",Before
333,"bro, fix the Nazi problem in your state. until then, you have no Jewish friends. stop pretending that you do",Before
266,"Youre telling me -- not Bernie Sanders, who is making kissy-face with Rashida Tlaib over an event declaring Israels creation a disaster WHILE ROCKETS FALL ON TEL AVIV -- that its antisemitic to call out Bernies anti-Jewish garbage? GFY.",Before
721,You cannot say you care about women in Iran if you dont speak out for women in Palestine.,Before
996,You cannot possibly compare NATOs interventions to Russias invasions. It requires both a deliberate ignorance of the scale and to deliberately ignore the history of Russian genocide in Ukraine.  Dont deliberately ignore the history of Russian genocide in Ukraine.,Before
641,"Yes, this is how Middle East journalisming often works",Before
198,"Yes, this is a real post from Donald Trump addressing ""liberal Jews who voted to destroy America & Israel.""",Before
187,"Wikipedia:  7 accounts getting suspended-- ""massacre"" 14,000 arrests, 19 dead, biggest national guard deployment ever-- ""protests""",Before
318,"What a great State we live in! Honored to Light the Menorah at The Governors Mansion in Montgomery Alabama tonight, celebrating the miracle of Hanukkah and the survival of the Jewish people! Thank you Governor Ivey!",Before
670,"We shouldn’t have to tell the president to NOT make the Catholic sign of the cross in front of the Prime Minister of Israel. But yet, here we are.",Before
509,Watch my full exchange with RFK Jr. in which I challenge his “unconditional” support of Israel in light of the international consensus that Israel is an apartheid state.,Before
663,"Today, I visited the oldest synagogue in continuous use in the Western Hemisphere. The first Jew prayed here in 1732, the year that George Washington was born. Today, McCarthy met with antisemite Paul Gosar. What do you call someone who seeks power with the aid of antisemites?”",Before
127,"Today is Monday, September 11th and it marks the 22nd anniversary of the radical islamic terror attacks that killed some 3,000 Americans.  If you’re wondering where our president is today, it’s not New York, not Ground Zero, not DC, not Shanksville.   He’s in Alaska",Before
523,"Today is 10th anniversary of the Ghouta chemical massacre in Syria. US blamed Syrian govt, but all evidence points to sectarian death squad rebels. Thats why Obama didnt bomb.  There are Western officials who know more about Ghouta than has been publicly disclosed. Just as the",Before
521,"This is all part of a broader Leftist narrative that its the new right-wing Israeli government ""raising risk of escalation"" when 13-year-old terrorists shoot people going to synagogue, Hamas cheers, and the PA cuts off security cooperation. Look at this pathetic NYT headline:",Before
213,"These ""rebels"" were also armed by Israel, which regularly bombs Syria to help enforce a US blockade. Meanwhile the US occupies 1/3 Syria, stealing its wheat/oil, and imposes sanctions that, as former senior Trump officials brag, have ""crushed"" Syrias economy, causing ""food",Before
473,"The same bigot who five years ago called Nazis “very fine people” is threatening Jewish Americans today.  When someone shows you who they are, believe them the first time.",Before
757,The purpose of terrorism is to terrorize.,Before
775,"The juxtaposition of rabid anti-Semite Rashida Tlaib attempting to perform a ""Nakba Day"" lamenting the existence of the State of Israel while Hamas fires missiles into the heart of Tel Aviv is pretty clarifying.",Before
909,"The current Israeli government had to pass the judicial reform. It is INCREDIBLY mild: it merely says that the judiciary cannot simply declare a law ""unconstitutional"" in a land with no written constitution on the basis of it being ""unreasonable.""   Imagine the Supreme Court in",Before
492,"The UN says that Israels bombing of Syrias Aleppo airport forced it ""to suspend or divert flights used to transport vital medical supplies such as tetanus vaccines, diabetes medication and blood-transfusion testing equipment.""",Before
534,"The U.S. is doing what it always does, terrorize the world for corporate profits.   Here Seymour Hersh explains EXACTLY how the United States blew up The Nord Stream pipeline so US companies could sell more Natural Gas to Europe.    Were The Terrorists.  …",Before
558,"The New York Times actually has the nerve to support calls for genocide! If ever there was a time to cancel that publication, it is now.  You can read their articles for free anyway using .",Before
711,The Hamas caucus of the house is really upset that an antisemite was removed from the foreign affairs committee. I’m shocked…but also glad that finally some people did something.,Before
425,Squad Democrat Ilhan Omars World Cup trip funded by Hamas-tied Qatar,Before
490,"Says the fist pumping domestic terrorists guy who tried to overturn an election in order to install the thrice philandering, serially lying ‘disciple of Jesus’ who mocked a disabled reporter & bragged about sexually assaulting women.  You’re about as hypocritical as they come.",Before
149,Ready for a historical trip of a lifetime?  Come join me in Israel next May!,Before
811,"RFK Jr. says he opposed arming and funding Ukraine in a proxy war with Russia.  US officials, including Joe Biden, want to make Ukraine the “Israel” of Europe.  RFK Jr. endorses the US funding and arming Israel.  This is red-flag levels of hypocrisy.",Before
685,"Personally as a Jew, I tend to think the people using antisemitic rhetoric are in fact antisemitic",Before
371,"OUTRAGE! On 9/11 of all days, Biden administration gives Irans terrorist regime ""waiver"" to get $6 billion in funds in exchange for release of 5 US prisoners held hostage by the terror regime. Biden will also release 5 Iranian prisoners from US custody.",Before
497,My daughter is at Hebrew school this morning while the former president is fomenting antisemitism. I am sad and mad and incredibly disappointed that so many suggest we should simply ignore him.   Ignoring problems doesn’t make them go away.,Before
611,"Leader Schumer: ""When the former President of the United States welcomes at his own dinner table several vicious antisemites and then, rather than apologize, he lectures American Jewish leaders for insufficient loyalty — it is incumbent on all of us to speak out.""",Before
255,"Jew here.  Words mean things.  When everything is called antisemitic, it helps provide cover for actual antisemitism.",Before
761,"Isn’t it crazy that almost no one in the political or media class talk about radical Islamic terrorism anymore. There’s no concern about it, and yet every emergency power that the government took in the name of terrorism, DHL, TSA, Patriot act, is just part of America now.",Before
418,"Instead of taking personal responsibility like a man for his vile views about Jews, @emeriticus goes full leftist and like a coward, blames Trump!!!   ""In an interview. Gonzalez attributed the remarks to his descent into what he described as an ""online Trump world""",Before
915,"Imperialists often raise the example of WWII & accusations of genocide to justify war. (E.g. incubator babies in Kuwait). But does the left have a response to the question of how to identify a Hitler-level threat, & what to do about it? Must it?  …",Before
112,"If you were on a mission to create more antisemitism in this country, you couldn’t do a better job than the ADL.",Before
356,"If you don’t support Israel, you ain’t black!",Before
242,"I try not to invoke my Jewish identity because opinions have value on merits, not ethnicity. But the policing of black celebrities is embarrassing. Also massively hypocritical: US media and Jewish groups are now silent on US backing of openly neo-Nazi Azov Battalion in Ukraine.",Before
