Subject_ID,Tweet_ID,Sentence,Tokens,Indexed_Tokens,Segments_IDs
74,609,[CLS] hey remember phoned despot bestie Netanyahu told accept cease fire deal [SEP],"['[CLS]', 'hey', 'remember', 'phone', '##d', 'des', '##pot', 'best', '##ie', 'net', '##any', '##ahu', 'told', 'accept', 'cease', 'fire', 'deal', '[SEP]']","[101, 4931, 3342, 3042, 2094, 4078, 11008, 2190, 2666, 5658, 19092, 21463, 2409, 5138, 13236, 2543, 3066, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,609,[CLS] ace job homeslice [SEP],"['[CLS]', 'ace', 'job', 'homes', '##lice', '[SEP]']","[101, 9078, 3105, 5014, 13231, 102]","[1, 1, 1, 1, 1, 1]"
74,609,[CLS] good thing meddling caused serious consequences I right [SEP],"['[CLS]', 'good', 'thing', 'med', '##dling', 'caused', 'serious', 'consequences', 'i', 'right', '[SEP]']","[101, 2204, 2518, 19960, 14423, 3303, 3809, 8465, 1045, 2157, 102]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
74,705,[CLS] hey remember Jared Kushner brought peace Middle East [SEP],"['[CLS]', 'hey', 'remember', 'jared', 'ku', '##sh', '##ner', 'brought', 'peace', 'middle', 'east', '[SEP]']","[101, 4931, 3342, 8334, 13970, 4095, 3678, 2716, 3521, 2690, 2264, 102]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
74,705,[CLS] neither [SEP],"['[CLS]', 'neither', '[SEP]']","[101, 4445, 102]","[4, 4, 4]"
74,133,[CLS] hey remember Jared Kushner brought lasting peace Middle East [SEP],"['[CLS]', 'hey', 'remember', 'jared', 'ku', '##sh', '##ner', 'brought', 'lasting', 'peace', 'middle', 'east', '[SEP]']","[101, 4931, 3342, 8334, 13970, 4095, 3678, 2716, 9879, 3521, 2690, 2264, 102]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
74,133,[CLS] neither [SEP],"['[CLS]', 'neither', '[SEP]']","[101, 4445, 102]","[6, 6, 6]"
30,968,[CLS] Yes  decolonization  necessarily implies Jewish genocide thus unacceptable reasonable person [SEP],"['[CLS]', 'yes', 'deco', '##lon', '##ization', 'necessarily', 'implies', 'jewish', 'genocide', 'thus', 'unacceptable', 'reasonable', 'person', '[SEP]']","[101, 2748, 21933, 7811, 3989, 9352, 12748, 3644, 14052, 2947, 21873, 9608, 2711, 102]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
20,771,[CLS] Who guy think shutting Grand Central Statue Liberty etc [SEP],"['[CLS]', 'who', 'guy', 'think', 'shutting', 'grand', 'central', 'statue', 'liberty', 'etc', '[SEP]']","[101, 2040, 3124, 2228, 17521, 2882, 2430, 6231, 7044, 4385, 102]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
20,771,[CLS] Anyway learn courageous Jewish activists saying don t want war crimes committed name latest user [SEP],"['[CLS]', 'anyway', 'learn', 'courageous', 'jewish', 'activists', 'saying', 'don', 't', 'want', 'war', 'crimes', 'committed', 'name', 'latest', 'user', '[SEP]']","[101, 4312, 4553, 26103, 3644, 10134, 3038, 2123, 1056, 2215, 2162, 6997, 5462, 2171, 6745, 5310, 102]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
20,771,[CLS] NotInMyName [SEP],"['[CLS]', 'not', '##in', '##my', '##name', '[SEP]']","[101, 2025, 2378, 8029, 18442, 102]","[10, 10, 10, 10, 10, 10]"
78,240,[CLS] Whats difference poison pill described giving Gaza funding become independent expecting fail [SEP],"['[CLS]', 'what', '##s', 'difference', 'poison', 'pill', 'described', 'giving', 'gaza', 'funding', 'become', 'independent', 'expecting', 'fail', '[SEP]']","[101, 2054, 2015, 4489, 9947, 17357, 2649, 3228, 14474, 4804, 2468, 2981, 8074, 8246, 102]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
78,240,[CLS] Dont look sound [SEP],"['[CLS]', 'don', '##t', 'look', 'sound', '[SEP]']","[101, 2123, 2102, 2298, 2614, 102]","[12, 12, 12, 12, 12, 12]"
41,619,[CLS] We ought sympathy [SEP],"['[CLS]', 'we', 'ought', 'sympathy', '[SEP]']","[101, 2057, 11276, 11883, 102]","[13, 13, 13, 13, 13]"
41,619,[CLS] And ought recognize dead Hamas [SEP],"['[CLS]', 'and', 'ought', 'recognize', 'dead', 'hamas', '[SEP]']","[101, 1998, 11276, 6807, 2757, 22129, 102]","[14, 14, 14, 14, 14, 14, 14]"
